"#","Artist","Track Title","Duration","Genre","BPM","Key","Time/Setting","Journey Role","Crowd State","Notes"
1,"DJ Tennis, Joseph Ashworth, LP Giobbi","All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix)","06:08","Melodic House & Techno","120.00","7A","","","",""
2,"Andre Nickatina","Ayo for Yayo (feat. San Quinn)","03:14","Hip-Hop/Rap","128.48","10A","","","",""
3,"Disclosure","Boiling (feat. Sinead Harnett)","03:46","Electronic","128.00","11A","","","",""
4,"Sucre Sale","Bye Bye Les Fraises feat. Sashe (Heinrichs & Hirtenfellner Remix)","07:43","Tech House","123.00","3A","","","",""
5,"Shimza, Mikhaela Faye","Calling Out Your Name (Original Mix)","07:01","Afro House","123.00","1A","","","",""
6,"Caribou","Can't Do Without You (Tale Of Us & Mano Le Tough Remix)","07:37","Electronica","128.00","8A","","","",""
7,"Monique Bingham, Black Coffee","Deep in the Bottom (of Africa)","06:33","Afro House","128.00","5A","","","",""
8,"Todd Terry, A-Trak","DJs Gotta Dance More feat. Todd Terry (Extended)","04:44","House","120.00","10A","","","",""
9,"rusowsky & Ralphie Choo","Dolores","03:38","Pop","122.00","10A","","","",""
10,"40 Thieves","Don’t Turn It Off feat. Qzen (Session Victim Extended Remix)","06:47","","124.00","8A","","","",""
11,"Climbers","Equal Responsibility (Betoko Remix)","07:36","Deep House","120.00","12A","","","",""
12,"Kaskade, deadmau5, Kx5","Escape feat. Hayla (Extended Mix)","05:14","Dance / Pop","126.00","8A","","","",""
13,"Charlotte Cardin, RUSH AVENUE","Feel Good (feat. Charlotte Cardin) [Remix] (feat. Charlotte Cardin)","03:28","Afro House","120.00","11A","","","",""
14,"Eli & Fur","Feel The Fire (Journeyman Remix)","06:27","Deep House","120.00","7A","","","",""
15,"Stereoclip","Feel The Game (Extended Remix)","05:31","Melodic House & Techno","125.00","1A","","","",""
16,"Oliver Koletzki, Jake The Rapper","Fifty Ways To Love Your Liver (Original Mix)","05:04","Deep House","105.00","8A","","","",""
