Artist,Title,Duration,Genre,BPM,Key,Time,Role,Crowd,Notes
EMMË (MX) & RO'Q,Cave of Wonders,7:29,Dance & DJ,126.00,1A,,,,
&ME,Garden (Original Mix),7:54,Melodic House & Techno,122.00,5A,,,,
&ME,The Rapture Pt.II (Original Mix),8:32,Melodic House & Techno,120.00,3A,,,,
"&ME, Rampa, Adam Port, Keinemusik",Muyè (Original Mix),7:50,Afro House,120.00,8A,,,,
"&ME, Rampa, Adam Port, Keinemusik, Sofie",Discoteca (Original Mix),6:58,Melodic House & Techno,120.00,11A,,,,
A Taste Of Honey,"Boogie Oogie Oogie (NEIL FRANCES ""No More Boogie"" Remix)",5:29,Dance / Electro Pop,123.00,8A,,,,
"Adam Port, Yeah But No",Run Run Run (Adam Port Remix),8:09,Melodic House & Techno,122.00,2A,,,,
"Adriatique, Eynka","Beyond Us (Extended Hatshepsut Version, Alex Wann remix)",6:03,Melodic House & Techno,122.00,4A,,,,
"Adriatique, JAiMES, Samm (BE)",Back To Life (Extended Mix),6:29,Dance / Pop,120.00,2A,,,,
"Agoria, Rami Khalife, Noémie",Teardrops (Don't stop The Music) (Nick Morgan Remix),7:09,House,124.00,3A,,,,
"Agoria, Rami Khalife, Noémie",Teardrops (Don't Stop The Music) (Original Mix),6:09,Melodic House & Techno,124.00,5B,,,,
"Alex Metric, DJ Tennis, Carlita",Cinecitta (Original Version),6:16,Melodic House & Techno,125.00,8A,,,,
Alex Wann,Milkshake (Original Mix),6:18,Melodic House & Techno,118.00,7A,,,,
"Andrey Exx, Fomichev",Be Good (Original Mix),6:48,Deep House,120.00,6A,,,,
Argia,Deeper (Original Mix),6:44,Afro House,122.00,10B,,,,
Ash,Sing It Back (feat. Naila) (Original Mix),4:12,Electronica,120.00,12A,,,,
Audiojack,Lifter (Extended Mix),6:04,House,126.00,4A,,,,
AVNU (UK),Systematic (Original Mix),7:30,Melodic House & Techno,124.00,7A,,,,
AVNU (UK),Ultraviolet (Original Mix),6:50,Melodic House & Techno,124.00,2A,,,,
"AVNU (UK), OBRN",U-Jam (Extended Mix),5:23,House,125.00,5A,,,,
