artist,title,bpm,duration,key,genre
The Dead Rose Music Company,Just a Bitter Love,109.33,07:55,6A,House
Andre Nickatina,Ayo for Yayo (feat. San Quinn),128.48,03:14,10A,Hip-Hop/Rap
Disclosure,Boiling (feat. Sinead Harnett),128.00,03:46,11A,Electronic
Warren G,Regulate (feat. Nate Dogg),95.41,04:08,9A,Hip-Hop/Rap
rusowsky & Ralphie Choo,Dolores,122.00,03:38,10A,Pop
Frank Ocean,Lost,123.00,03:54,6A,Pop
Perrez,There's Never Been (No One Like You)(P's Sunrise Edit),117.72,05:42,10B,
FKJ,Lying Together,102.00,04:28,2A,
40 Thieves,Don’t Turn It Off feat. Qzen (Session Victim Extended Remix),124.00,06:47,8A,
Radiohead,Videotape (Original Mix),154.77,04:42,12A,Electronica
Caribou,Can't Do Without You (Tale Of Us & Mano Le Tough Remix),128.00,07:37,8A,Electronica
Verboten Berlin,Symmetry (Rodriguez Jr. Remix),120.50,06:13,11A,Deep House
Todd Terry, A-Trak,DJs Gotta Dance More feat. Todd Terry (Extended),120.00,04:44,10A,House
TENSHU,Stones Throw (Original Mix),126.00,05:13,8A,UK Garage / Bassline
Sucre Sale,Bye Bye Les Fraises feat. Sashe (Heinrichs & Hirtenfellner Remix),123.00,07:43,3A,Tech House
Stereoclip, DIM KELLY,Preach The World (Original Mix),122.00,05:17,12A,Organic House / Downtempo
Stereoclip,Sunset Drive (Extended Mix),125.00,07:13,5A,Melodic House & Techno
Stereoclip,Feel The Game (Extended Remix),125.00,05:31,1A,Melodic House & Techno
Shura,Touch (Four Tet Remix),122.00,04:35,8B,Electronica
Shimza, Mikhaela Faye,Calling Out Your Name (Original Mix),123.00,07:01,1A,Afro House
Shakka,When Will I See You Again (Amtrac Remix),125.00,06:31,5B,Nu Disco / Disco
Royksopp,Sordid Affair (Maceo Plex Mix),123.00,07:58,3A,Tech House
Quantic,I Won't Fade Away feat. Alice Russell (Original Mix),125.00,03:48,9A,UK Garage / Bassline
Overmono,So U Kno (Original Mix),130.00,05:43,4A,Dance / Pop
Outkast, Sleepy Brown,The Way You Move (Original Mix),126.00,03:54,5A,Trap / Future Bass
Oliver Koletzki, Jake The Rapper,Fifty Ways To Love Your Liver (Original Mix),105.00,05:04,8A,Deep House
Nina Carr, Effemar,Saturday Night (Extended),123.00,05:10,4A,Dance / Pop
Nico de Andrea,Wish We Could feat. Syon & Darla Jade (Extended Mix),120.00,05:26,3A,House
Monique Bingham, Black Coffee,Deep in the Bottom (of Africa),128.00,06:33,5A,Afro House
Moloko,Sing It Back (Herbert's Tasteful Dub),123.42,05:59,2A,House
Midland,Final Credits (Original Mix),133.00,07:20,4A,House
Maverick Sabre, Jorja Smith,Slow Down (James Cole Remix),126.00,06:58,9A,Deep House
Mario Basanov,We Are Child Of Love (The Mekanism Remix),120.00,06:25,12A,Deep House
Marcus Worgull,Love Song (Original Mix),124.00,06:27,8A,Indie Dance
Kidnap,Skin (Rinzen Remix),123.00,07:30,8A,Melodic House & Techno
Kaskade, deadmau5, Kx5,Escape feat. Hayla (Extended Mix),126.00,05:14,8A,Dance / Pop
Kaskade, deadmau5,I Remember (Original Mix),128.00,09:07,10A,Dance / Pop
Justice, Tame Impala,One Night/All Night (Original Mix),116.13,04:36,4A,Dance / Pop
Justice, Tame Impala,Neverender (Extended),119.00,06:43,11A,Indie Dance
Joi Cardwell, Jon Dasilva, Maceo Plex,Love Somebody Else Feat. Joi Cardwell (Original Mix),123.00,08:18,12B,Deep House
Glass Animals,Gooey (Original Mix),91.50,04:49,10A,Dance / Pop
Emanuele Esposito, Gianni Romano,It's Not Right (Original Mix),123.00,06:22,5A,Afro House
Eli & Fur,Walk The Line (Themba Extended Mix),122.00,06:21,9A,Melodic House & Techno
Eli & Fur,Walk The Line (Extended Mix),123.00,04:56,9A,Melodic House & Techno
Eli & Fur,Night Blooming Jasmine (Rodriguez Jr. Remix),120.00,06:10,4A,Melodic House & Techno
Eli & Fur,Night Blooming Jasmine (Original Mix),120.00,03:46,4A,Deep House
Eli & Fur,Feel The Fire (Journeyman Remix),120.00,06:27,7A,Deep House
Dusky, Janai,It's Not Enough feat. Janai (Original Mix),123.00,06:49,4A,Deep House
Duke Dumont,Ocean Drive (Extended Mix),115.00,04:39,1A,Dance / Pop
Dua Lipa,Houdini (Adam Port Mix),119.00,03:22,6A,Dance / Pop
DJ Tennis, Joseph Ashworth, LP Giobbi,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),120.00,06:08,7A,Melodic House & Techno
Daft Punk,Give Life Back to Music (Original Mix),119.05,04:35,8A,Dance / Pop
Climbers,Equal Responsibility (Betoko Remix),120.00,07:36,12A,Deep House
CIOZ,Lucky Shot (Original Mix),122.00,08:14,7A,Deep House
Chrome Sparks,Marijuana (Original Mix),87.00,03:01,1A,Electronica
Charlotte Cardin, RUSH AVENUE,Feel Good (feat. Charlotte Cardin) [Remix] (feat. Charlotte Cardin),120.00,03:28,11A,Afro House
Bobbi Fallon, Animalic Drum,Sell My Heart (Kreative Nativez Remix),123.00,07:01,11A,Afro House
Bob Moses,Tearing Me Up (Original Mix),115.00,07:50,7A,Dance / Electro Pop
Bicep,Opal (Four Tet Remix),127.00,08:14,8A,Deep House
Bantwanas, Khonaye,Izolo feat. Khonaye (Lost Desert & Lee Burridge Remix),120.00,08:24,9A,Organic House / Downtempo
Ash,Sing It Back (feat. Naila) (Original Mix),120.00,04:12,12A,Electronica
Agoria, Rami Khalife, Noémie,Teardrops (Don't Stop The Music) (Original Mix),124.00,06:09,5B,Melodic House & Techno
Solomun,Never Sleep Again (Keinemusik Remix),120.00,07:12,6A,Melodic House & Techno
Floyd Lavine,Masala (Pablo Fierro Remix),125.00,06:58,7A,Afro House
J. Koen,Where the Subtle Meets Infinity (Original Mix),123.00,05:47,1A,Deep House
Texture,Hit The Ground  (Extended Mix),122.00,04:00,6A,House
Alex Virgo,Promiscuous [AV Edit],126.00,05:36,3A,
Ben Pearce,What I Might Do,122.00,03:14,5A,Dance
Fred Falke, Elohim, Mansions on the Moon,It's A Memory (Amtrac Remix),124.00,06:47,2A,Electronica
Hana,Illusory (Extended Mix),132.00,05:59,1A,Melodic House & Techno
Portrait,What Can I Do,122.00,02:25,8A,
Maribou State, Holly Walker,Midas feat. Holly Walker (Ben Pearce Re-Edit),120.00,06:05,8A,Electronica
Sam Smith, Disclosure,Latch (Jamie Jones Remix),123.00,06:31,4B,Electronica
