artist,title,duration,key,bpm
The Dead Rose Music Company,Just a Bitter Love,07:55,6A,109.33
Disclosure,Boiling (feat. Sinead Harnett),03:46,11A,128.00
rusowsky & Ralphie Choo,Dolores,03:38,10A,122.00
FKJ,Lying Together,04:28,2A,102.00
Radiohead,Videotape (Original Mix),04:42,12A,154.77
Charlotte Cardin,Passive Aggression,03:29,4A,100.00
Kaskade,A Better World (feat. Chance the Rapper),03:43,9A,120.00
RÜFÜS DU SOL,Innerbloom,06:35,8A,120.00
Four Tet,Glitch Mob Remix,04:32,1A,110.00
Jon Hopkins,Emerald Rush,06:27,11B,128.00
